Donor,Location Name,FID of the park,Zone,Location latitude,Location longitude,Unique ID of the Percolation well,Percolation well latitude,Percolation well longitude,,,,,,,,
Mphasis,Ayyappa temple park,28,Bommanahalli zone,,,PW-542,12.892276,77.609296,,,,,,,,
Mphasis,Ayyappa temple park,28,Bommanahalli zone,,,PW-545,12.892675,77.609278,,,,,,,,
Mphasis,Ayyappa temple park,28,Bommanahalli zone,,,PW-546,12.892521,77.609102,,,,,,,,
Mphasis,Ayyappa temple park,28,Bommanahalli zone,,,PW-547,12.892137,77.609034,,,,,,,,
Mphasis,Ayyappa temple park,28,Bommanahalli zone,,,PW-548,12.892007,77.608655,,,,,,,,
Mphasis,Ayyappa temple park,28,Bommanahalli zone,,,PW-549,12.89216,77.608627,,,,,,,,
Mphasis,Ayyappa temple park,28,Bommanahalli zone,,,PW-550,12.892121,77.608581,,,,,,,,
Mphasis,Ayyappa temple park,28,Bommanahalli zone,,,PW-551,12.892007,77.608167,,,,,,,,
Mphasis,Ayyappa temple park,28,Bommanahalli zone,,,PW-552,12.892089,77.607695,,,,,,,,
Mphasis,Ayyappa temple park,28,Bommanahalli zone,,,PW-552,12.89177,77.608112,,,,,,,,
Mphasis,Ayyappa temple park,28,Bommanahalli zone,,,PW-533,12.891868,77.607655,,,,,,,,
Mphasis,Ayyappa temple back side park,24,Bommanahalli zone,,,PW-564,12.891713,77.605678,,,,,,,,
Broadcom,Bio Centre,B101,Bannerghatta road,,,R-56,12.880866,77.589769,,,,,,,,
Broadcom,Bio Center,B101,Bannerghatta road,,,B-410,12.88048,77.59063,,,,,,,,
Mphasis,Bengaluru one park,3,Bommanahalli zone,,,PW-123,12.912398,77.650237,,,,,,,,
Mphasis,Bengaluru one park,3,Bommanahalli zone,,,PW-121,12.913265,77.649767,,,,,,,,
Mphasis,Bengaluru one park,3,Bommanahalli zone,,,PW-124,12.913198,77.650164,,,,,,,,
Mphasis,Bengaluru one park,3,Bommanahalli zone,,,PW-124,12.913217,77.649844,,,,,,,,
Mphasis,Ayyappa temple park,28,Bommanahalli zone,,,PW-543,12.892181,77.60948,,,,,,,,
Mphasis,Bengaluru one park,3,Bommanahalli zone,,,R-23,12.913138,77.649356,,,,,,,,
Mphasis,Ayyappa temple park,28,Bommanahalli zone,,,PW-533,12.891899,77.60763,,,,,,,,
Mphasis,Ayyappa temple park,28,Bommanahalli zone,,,PW-544,12.892394,77.609664,,,,,,,,
Mphasis,Bengaluru one park,3,Bommanahalli zone,,,R-29,12.91314,77.649345,,,,,,,,
Mphasis,Bengaluru one park,3,Bommanahalli zone,,,R-30,12.913157,77.649369,,,,,,,,
Mphasis,Ayyappa temple back side park,24,Bommanahalli,,,PW-564,12.891794,77.605754,,,,,,,,
Mphasis,Ayyappa temple back side park,24,Bommanahalli zone,,,PW-565,12.891685,77.605626,,,,,,,,
Mphasis,Ayyappa temple back side park,24,Bommanahalli zone,,,PW-561,12.891461,77.604886,,,,,,,,
Mphasis,Ayyappa temple back side park,24,Bommanahalli zone,,,PW-560,12.891626,77.604917,,,,,,,,
Mphasis,Ayyappa temple back side park,24,Bommanahalli zone,,,R-02,12.89172,77.60491,,,,,,,,
Mphasis,Ayyappa temple back side park,24,Bommanahalli zone,,,PW-562,12.891642,77.60546,,,,,,,,
Mphasis,Ayyappa temple back side park,24,Bommanahalli zone,,,PW-553,12.891545,77.605492,,,,,,,,
Mphasis,Ayyappa temple back side park,24,Bommanahalli zone,,,PW-559,12.891723,77.605537,,,,,,,,
Mphasis,Police station back side park,25,Bommanahalli zone,,,PW-569,12.891298,77.609024,,,,,,,,
Swiss Re Foundation,"8 A main park, HSR layout",17,Bommanahalli zone,,,S-8,12.909138,77.633673,,,,,,,,
Swiss Re Foundation,"8 A main park, HSR layout",17,Bommanahalli,,,S-10,12.909292,77.633247,,,,,,,,
Broadcom,Bio center,B101,Bannerghatta road,,,R-56,12.8802,77.590631,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-409,12.88048,77.590675,,,,,,,,
Broadcom,Bio center,B101,Bannerghatta road,,,B-407,12.880368,77.590651,,,,,,,,
Broadcom,Bio center,B101,Bannerghatta road,,,B-408,12.880417,77.590321,,,,,,,,
Broadcom,Bio center,B101,Bannerghatta road,,,R-57,12.880258,77.590627,,,,,,,,
Broadcom,Bio Center,B101,Bannerghatta road,,,B-406,12.880843,77.589734,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-404,12.88052,77.590302,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-403,12.88016,77.5908,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-402,12.879993,77.589213,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-401,12.880062,77.591032,,,,,,,,
Broadcom,Bio Center,B101,Bannergatta road,,,B-395,12.880185,77.590623,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-396,12.880095,77.591213,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-397,12.880273,77.591235,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-398,12.880183,77.590948,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-393,12.879839,77.591178,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-392,12.879613,77.591148,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-394,12.879615,77.591203,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-418,12.879683,77.590956,,,,,,,,
Broadcom,Bio center,B101,Bannerghatta road,,,B-388,12.879554,77.591151,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-387,12.879505,77.591038,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-387,12.879463,77.591193,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-385,12.879541,77.591121,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-384,12.879504,77.591053,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-383,12.879215,77.591439,,,,,,,,
Broadcom,Bio Center,B101,Bannergatta road,,,B-383,12.879506,77.591165,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,R-58,12.879369,77.591281,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-380,12.879452,77.591253,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-379,12.879208,77.591458,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,R-59,12.879137,77.591697,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-376,12.879053,77.591915,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-377,12.879043,77.591907,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-375,12.879141,77.59197,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-374,12.879084,77.592124,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-373,12.879038,77.592158,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-342,12.879082,77.592587,,,,,,,,
Broadcom,Bio Center,B101,Bannergatta road,,,B-340,12.880898,77.595074,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-341,12.878885,77.592272,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-345,12.879115,77.592541,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-346,12.88083,77.593641,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-347,12.879322,77.592731,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-348,12.879248,77.592495,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-349,12.879376,77.593271,,,,,,,,
Broadcom,Bio,B101,Bannergatta road,,,B-351,12.879519,77.592643,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-352,12.879515,77.592267,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,R-60,12.879506,77.59239,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,R-61,12.879589,77.592497,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-62,12.87957,77.592553,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,R-63,12.879745,77.592517,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-356,12.87926,77.592619,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,R-64,12.87991,77.59242,,,,,,,,
Broadcom,Bio center,B101,Bannergatta raod,,,R-65,12.879602,77.592348,,,,,,,,
Broadcom,Bio center,B101,Bannerghatta road,,,R-66,12.879913,77.592312,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-360,12.880063,77.592542,,,,,,,,
Broadcom,Bio center,B101,Bannergatta road,,,B-361,12.880055,77.592439,,,,,,,,
Mphasis,Bengaluru one park,3,Bommanahalli zone,,,PW-113,12.912337,77.647835,,,,,,,,
Mphasis,Bengaluru one park,3,Bommanahalli zone,,,PW-116,12.911522,77.648838,,,,,,,,
Mphasis,Bengaluru one park,3,Bommanahalli zone,,,PW-115,12.912023,77.649457,,,,,,,,
Mphasis,Bengaluru one park,3,Bommanahalli zone,,,PW-114,12.91232,77.649557,,,,,,,,
Mphasis,Bengaluru one park,3,Bommanahalli zone,,,PW-117,12.912363,77.651408,,,,,,,,
Mphasis,Bengaluru one park,3,Bommanahalli zone,,,PW-118,12.912525,77.649614,,,,,,,,
Mphasis,Bengaluru one park,3,Bommanahalli zone,,,PW-119,12.912774,77.650696,,,,,,,,
Mphasis,Bengaluru one park,3,Bommanahalli zone,,,PW-122,12.913086,77.65042,,,,,,,,
Mphasis,Ayyappa temple Park,28,Bommanahalli zone,,,PW-533,12.891886,77.607585,,,,,,,,
Mphasis,Lawrance school park,4,Bommanahalli,,,PW-154,12.913666,77.633274,,,,,,,,
Mphasis,Lawrence School Park,4,Bommanahalli zone,,,PW-155,12.913646,77.633519,,,,,,,,
Mphasis,Lawrence school park,4,Bommanahalli zone,,,PW-151,12.914023,77.63399,,,,,,,,
Mphasis,Lawrence School Park,4,Bommanahalli zone,,,PW-153,12.913695,77.633499,,,,,,,,
Mphasis,Lawrence school park,4,Bommanahalli zone,,,PW- 147,12.913339,77.63405,,,,,,,,
Mphasis,Ayyappa Temple  backside Park,24,Bommanahalli zone,,,Pw-563,12.891647,77.605613,,,,,,,,
Mphasis,Ayyappa Temple  backside Park,24,Bommanahalli zone,,,Pw-566,12.891543,77.605555,,,,,,,,
Mphasis,Ayyappa Temple  backside Park,24,Bommanahalli zone,,,Pw-556,12.891919,77.605079,,,,,,,,
Mphasis,Ayyappa Temple  backside Park,24,Bommanahalli zone,,,Pw-555,12.891735,77.605355,,,,,,,,
Mphasis,Ayyappa Temple  backside Park,24,Bommanahalli zone,,,Pw-554,12.891903,77.605396,,,,,,,,
Mphasis,Lawrence school park,4,Bommanahalli zone,,,PW-158,12.913335,77.633941,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli Zone,,,PW-23,12.911494,77.639895,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli Zone,,,PW-23,12.911328,77.639551,,,,,,,,
Mphasis,Ugrappa- swabhimana park,15,Bommanahalli Zone,,,PW -23,12.911395,77.639488,,,,,,,,
Mphasis,Lawrence school park,4,Bommanahalli Zone,,,PW-148,12.913385,77.634063,,,,,,,,
Mphasis,Police station back side park,25,Bommanahalli zone,,,Pw-571,12.891173,77.608347,,,,,,,,
Mphasis,Police station back side park,25,Bommanahalli zone,,,Pw-568,12.891337,77.608738,,,,,,,,
Mphasis,Lawrence School Park,4,Bommanahalli zone,,,PW-152,12.913937,77.633773,,,,,,,,
Mphasis,Police station back side park,25,Bommanahalli zone,,,Pw-570,12.89144,77.608503,,,,,,,,
Mphasis,Lawrence School Park,4,Bommanahalli zone,,,PW-150,12.91397,77.633929,,,,,,,,
Swiss Re Foundation,"8 A main park, HSR layout",17,Bommanahalli zone,,,S-1,12.909459,77.633453,,,,,,,,
Mphasis,Lawrence School Park,4,Bommanahalli zone,,,PW-149,12.913775,77.634143,,,,,,,,
Swiss Re Foundation,"8 A main park, HSR layout",17,Bommanahalli zone,,,S-2,12.909175,77.633615,,,,,,,,
Mphasis,Lawrence School Park,4,Bommanahalli zone,,,PW-158,12.913543,77.633643,,,,,,,,
Swiss Re Foundation,"8 A main park, HSR layout",17,Bommanahalli zone,,,S-3,12.909275,77.633604,,,,,,,,
Swiss Re Foundation,"8 A main park, HSR layout",17,Bommanahalli zone,,,S-4,12.909333,77.633767,,,,,,,,
Swiss Re Foundation,"14th B Cross Road,Sector 6 Next to Children Amusement Park",18,Bommanahalli zone,,,S-11,12.915026,77.634958,,,,,,,,
Swiss Re Foundation,"14th B Cross Road,Sector 6 Next to Children Amusement Park",18,Bommanahalli zone,,,S-11,12.914903,77.634955,,,,,,,,
Swiss Re Foundation,"8 A main park, HSR layout",17,Bommanahalli zone,,,S-7,12.909261,77.633737,,,,,,,,
Swiss Re Foundation,"8 A main park, HSR layout",17,Bommanahalli zone,,,S-9,12.909169,77.633639,,,,,,,,
Swiss Re Foundation,"8 A main park, HSR layout",17,Bommanahalli zone,,,R-34,12.90921,77.633575,,,,,,,,
Mphasis,Lawrence school park,4,Bommanahalli zone,,,PW-154,12.913673,77.633481,,,,,,,,
Swiss Re Foundation,"14th B Cross Road,Sector 6 Next to Children Amusement Park",18,Bommanahalli zone,,,S-14,12.914753,77.634732,,,,,,,,
Swiss Re Foundation,"14th B Cross Road,Sector 6 Next to Children Amusement Park",18,Bommanahalli zone,,,S-20,12.914887,77.634365,,,,,,,,
Swiss Re Foundation,"14th B Cross Road,Sector 6 Next to Children Amusement Park",18,Bommanahalli zone,,,S-18,12.914908,77.63401,,,,,,,,
Swiss Re Foundation,"14th B Cross Road,Sector 6 Next to Children Amusement Park",18,Bommanahalli zone,,,S-16,12.91136,77.636067,,,,,,,,
Swiss Re Foundation,"14th B Cross Road,Sector 6 Next to Children Amusement Park",18,Bommanahalli zone,,,S-13,12.914632,77.634759,,,,,,,,
Swiss Re Foundation,"14th B Cross Road,Sector 6 Next to Children Amusement Park",18,Bommanahalli zone,,,S-12,12.914573,77.635502,,,,,,,,
Swiss Re Foundation,"14th B Cross Road,Sector 6 Next to Children Amusement Park",18,Bommanahalli zone,,,S-15,12.914873,77.634664,,,,,,,,
Swiss Re Foundation,"14th B Cross Road,Sector 6 Next to Children Amusement Park",18,Bommanahalli zone,,,S19,9.3,2.3,,,,,,,,
Swiss Re Foundation,"14th B Cross Road,Sector 6 Next to Children Amusement Park",18,Bommanahalli zone,,,S17,12.914673,77.634025,,,,,,,,
Mphasis,Swachagraha Kalika Kendra,1,Bommanahalli zone,,,R-32,12.91564,77.638735,,,,,,,,
Mphasis,Swachagraha Kalika Kendra,1,Bommanahalli zone,,,PW-131,12.91541,77.639729,,,,,,,,
Mphasis,Swachagraha Kalika Kendra,1,Bommanahalli zone,,,PW-128,12.915315,77.639129,,,,,,,,
Mphasis,Swachagraha Kalika Kendra,1,Bommanahalli zone,,,PW-133,12.915097,77.639626,,,,,,,,
Mphasis,Swachagraha Kalika Kendra,1,Bommanahalli zonw,,,R-33,12.915113,77.639641,,,,,,,,
Mphasis,Swachagraha Kalika Kendra,1,Bommanahalli zone,,,PW-130,12.915257,77.639269,,,,,,,,
Mphasis,Swachagraha Kalika Kendra,1,Bommanahalli zone,,,R-36,12.915225,77.639187,,,,,,,,
Mphasis,Swachagraha Kalika Kendra,1,Bommanahalli zone,,,R-36,12.915188,77.638771,,,,,,,,
Mphasis,Forest park / Hemavathi park HSR layout,5,Bommanahalli zone,,,PW-79,12.915767,77.650912,,,,,,,,
Mphasis,Forest park / Hemavathi park HSR layout,5,Bommanahalli zone,,,PW-80,12.91614,77.647629,,,,,,,,
Mphasis,Forest park / Hemavathi park HSR layout,5,Bommanahalli zone,,,PW-81,12.916266,77.647569,,,,,,,,
Mphasis,Forest park / Hemavathi park HSR layout,5,Bommanahalli zone,,,PW-83,12.915982,77.647365,,,,,,,,
Mphasis,Forest park / Hemavathi park HSR layout,5,Bommanahalli zone,,,PW-83,12.916488,77.647635,,,,,,,,
Mphasis,Forest park / Hemavathi park HSR layout,5,Bommanahalli zone,,,PW-96,12.916278,77.647945,,,,,,,,
Mphasis,Forest park / Hemavathi park HSR layout,5,Bommanahalli zone,,,PW-85,12.916443,77.647639,,,,,,,,
Mphasis,Forest park / Hemavathi park HSR layout,5,Bommanahalli zone,,,PW-84,12.916558,77.647724,,,,,,,,
Mphasis,Forest park / Hemavathi park HSR layout,5,Bommanahalli zone,,,PW-86,12.916592,77.647788,,,,,,,,
Mphasis,Forest park / Hemavathi park HSR layout,5,Bommanahalli zone,,,PW-87,12.916648,77.6479,,,,,,,,
Mphasis,Forest park / Hemavathi park HSR layout,5,Bommanahalli zone,,,PW-88,12.916487,77.648282,,,,,,,,
Mphasis,Forest park / Hemavathi park HSR layout,5,Bommanahalli zone,,,PW-89,12.916392,77.648675,,,,,,,,
Mphasis,Forest park / Hemavathi park HSR layout,5,Bommanahalli zone,,,PW-95,12.916393,77.648635,,,,,,,,
Mphasis,Forest park / Hemavathi park HSR layout,5,Bommanahalli zone,,,PW-90,12.91657,77.648273,,,,,,,,
Mphasis,Forest park / Hemavathi park HSR layout,5,Bommanahalli zone,,,PW-91,12.916506,77.648505,,,,,,,,
Mphasis,Forest park / Hemavathi park HSR layout,5,Bommanahalli zone,,,PW-92,12.916312,77.648575,,,,,,,,
Mphasis,Forest park / Hemavathi park HSR layout,5,Bommanahalli zone,,,PW-93,12.916252,77.648663,,,,,,,,
Mphasis,Forest park / Hemavathi park HSR layout,5,Bommanahalli zone,,,PW-94,12.915706,77.648498,,,,,,,,
Mphasis,Forest park / Hemavathi park HSR layout,5,Bommanahalli zone,,,PW-70,12.915896,77.647613,,,,,,,,
Mphasis,Ganesh Park / Vinayaka park,6,Bommanahalli zone,,,PW-98,12.91754,77.650204,,,,,,,,
Mphasis,Ganesh Park / Vinayaka park,6,Bommanahalli zone,,,PW-97,12.917591,77.650227,,,,,,,,
Mphasis,Ganesh Park / Vinayaka park,6,Bommanahalli zone,,,PW-99,12.917855,77.650101,,,,,,,,
Mphasis,Ganesh Park / Vinayaka park,6,Bommanahalli zone,,,R-25,12.917896,77.650224,,,,,,,,
Mphasis,Ganesh Park / Vinayaka park,6,Bommanahalli zone,,,R-24,12.917912,77.65045,,,,,,,,
Mphasis,Ganesh Park / Vinayaka park,6,Bommanahalli zone,,,R-26,12.917922,77.650415,,,,,,,,
Mphasis,Ganesh Park / Vinayaka park,6,Bommanahalli zone,,,PW-104,12.917671,77.650656,,,,,,,,
Mphasis,Ganesh Park / Vinayaka park,6,Bommanahalli zone,,,PW-103,12.918024,77.650548,,,,,,,,
Mphasis,Ganesh Park / Vinayaka park,6,Bommanahalli zone,,,PW-105,12.917845,77.650516,,,,,,,,
Mphasis,Ganesh Park / Vinayaka park,6,Bommanahalli zone,,,PW-108,12.917415,77.650881,,,,,,,,
Mphasis,Ganesh Park / Vinayaka park,6,Bommanahalli zone,,,PW-109,12.91735,77.650716,,,,,,,,
Swiss Re foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-38,12.910939,77.633939,,,,,,,,
Swiss re foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-39,12.911033,77.633735,,,,,,,,
Swiss re foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-50,12.911158,77.633124,,,,,,,,
Swiss re foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-51,12.91127,77.633258,,,,,,,,
Swiss re foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-49,12.911246,77.633072,,,,,,,,
Swiss re foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-48,12.911213,77.633085,,,,,,,,
Swiss re foundation,"6th Main park,sector 7",19,Bommanahalli,,,S-46,12.911008,77.633378,,,,,,,,
Swiss re foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-47,12.91081,77.633258,,,,,,,,
Swiss re foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-45,12.910783,77.633307,,,,,,,,
Swiss re foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-44,12.910971,77.63386,,,,,,,,
Swiss re foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-43,12.910889,77.633899,,,,,,,,
Swiss re foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-42,12.910857,77.633855,,,,,,,,
Swiss re foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-41,12.910834,77.633832,,,,,,,,
Swiss re foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-40,12.910897,77.633785,,,,,,,,
Swiss re foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-36,12.911102,77.633575,,,,,,,,
Swiss re foundation,"6th Main park,sector 7",19,Bommanahalli zone,,,S-37,12.911263,77.633565,,,,,,,,
Mphasis,Nethravathi Park,8,Bommanahalli zone,,,R-39,12.917159,77.653617,,,,,,,,
Mphasis,Nethravathi Park,8,Bommanahalli zone,,,R-37,12.917304,77.653167,,,,,,,,
Mphasis,Nethravathi Park,8,Bommanahalli zone,,,PW-8,12.917311,77.653228,,,,,,,,
Mphasis,Nethravathi Park,8,Bommanahalli zone,,,R-38,12.917139,77.653617,,,,,,,,
Mphasis,Naft Collage back side Park 1,13,Bommanahalli zome,,,PW-161,12.91004,77.652711,,,,,,,,
Telstra,Independence Park,20,Bommanahalli zone,,,T-2,12.893671,77.634651,,,,,,,,
Telstra,Independence Park,20,Bommanahalli zone,,,T-1,12.90699,77.647061,,,,,,,,
Mphasis,Vrukasha vana Park,2,Bommanahalli zone,,,PW-144,12.90827,77.636191,,,,,,,,
Mphasis,Vrukasha vana Park,2,Bommanahalli zone,,,PW-143,12.89366,77.63464,,,,,,,,
Mphasis,Vrukasha vana Park,2,Bommanahalli zone,,,PW-142,12.908285,77.636274,,,,,,,,
Mphasis,Vrukasha vana Park,2,Bommanahalli zone,,,PW-140,12.908217,77.636305,,,,,,,,
Mphasis,Vrukasha vana Park,2,Bommanahalli zone,,,PW-139,12.908361,77.636541,,,,,,,,
Mphasis,Vrukasha vana Park,2,Bommanahalli zone,,,R-44,12.908094,77.636814,,,,,,,,
Mphasis,Vrukasha vana Park,2,Bommanahalli zone,,,R-45,12.907965,77.635958,,,,,,,,
Mphasis,Vrukasha vana Park,2,Bommanahalli zone,,,PW-136,12.907942,77.636513,,,,,,,,
Mphasis,Vrukasha vana Park,2,Bommanahalli zone,,,PW-135,12.908126,77.635971,,,,,,,,
Mphasis,Vrukasha vana Park,2,Bommanahalli zone,,,PW-145,12.908293,77.636205,,,,,,,,
Mphasis,Vrukasha vana Park,2,Bommanahalli zone,,,R-43,12.908162,77.636313,,,,,,,,
Mphasis,Naft Collage back side Park,10,Bommanahalli zone,,,PW-58,12.911086,77.652686,,,,,,,,
Mphasis,Naft Collage back side Park,2,Bommanahalli zone,,,PW-159,12.911792,77.652523,,,,,,,,
Mphasis,Naft Collage back side Park 1,13,Bommanahalli zone,,,PW-160,12.910005,77.652758,,,,,,,,
Mphasis,Naft Collage back side Park 1,13,Bommanahalli zone,,,PW-162,12.897419,77.645797,,,,,,,,
Mphasis,Forest Department Nursery,38,Bommanahalli zone,,,R-31,12.896961,77.645959,,,,,,,,
Mphasis,Forest Department Nursery,38,Bommanahalli zone,,,PW-364,12.897337,77.645955,,,,,,,,
Mphasis,Niligiri park/Krishana park,12,Bommanahalli zone,,,PW-63,12.914004,77.646206,,,,,,,,
Mphasis,Niligiri park/Krishana park,12,Bommanahalli zone,,,R-47,12.913781,77.646157,,,,,,,,
Mphasis,Niligiri park/Krishana park,12,Bommanahalli zone,,,PW-69,12.913878,77.646223,,,,,,,,
Mphasis,Niligiri park/Krishana park,12,Bommanahalli zone,,,PW-70,12.913852,77.646456,,,,,,,,
Mphasis,Niligiri park/Krishana park,12,Bommanahalli zone,,,PW-68,12.913789,77.64641,,,,,,,,
Mphasis,Niligiri park/Krishana park,12,Bommanahalli zone,,,PW-65,12.913798,77.64643,,,,,,,,
Mphasis,Niligiri park/Krishana park,12,Bommanahalli zone,,,PW-64,12.913793,77.646132,,,,,,,,
Mphasis,Niligiri park/Krishana park,12,Bommanahalli zone,,,PW-67,12.913342,77.646502,,,,,,,,
Mphasis,"Green park,sector 2, HSR layout",21,Bommanahalli zone,,,R-41,12.910003,77.645982,,,,,,,,
Mphasis,"Green park,sector 2, HSR layout",21,Bommanahalli,,,T-5,12.909962,77.646173,,,,,,,,
Mphasis,"Green park,sector 2, HSR layout",21,Bommanahalli zone,,,T-6,12.909654,77.64601,,,,,,,,
Mphasis,"Green park,sector 2, HSR layout",21,Bommanahalli zone,,,T-7,12.909533,77.646145,,,,,,,,
Mphasis,"Green park,sector 2, HSR layout",21,Bommanahalli zone,,,R-42,12.910025,77.646572,,,,,,,,
Mphasis,Jodi Park,14,Bommanahalli zone,,,R-46,12.908186,77.640304,,,,,,,,
Mphasis,Jodi Park,14,Bommanahalli zome,,,PW-170,12.90821,77.640766,,,,,,,,
Mphasis,Jodi Park,14,Bommanahalli zone,,,PW-171,12.90818,77.640904,,,,,,,,
Mphasis,Jodi Park,14,Bommanahalli zome,,,PW-168,12.908155,77.640296,,,,,,,,
Mphasis,"""Laxman Rao Boulevard """"L"""" Part Park""",M150,South Zone,,,B-734,12.922775,77.580704,,,,,,,,
Mphasis,"""Laxman Rao Boulevard """"L"""" Part Park""",M150,South zone,,,B-733,12.923237,77.580659,,,,,,,,
Mphasis,Tungabhadra Park,M150,South zone,,,B-735,12.922864,77.580731,,,,,,,,
Mphasis,"""Laxman Rao Boulevard """"L"""" Part Park""",M150,South zone,,,B-731,12.923248,77.580505,,,,,,,,
Mphasis,"""Laxman Rao Boulevard """"L"""" Part Park""",M150,South zone,,,B-728,12.922266,77.580704,,,,,,,,
Mphasis,"""""""Laxman Rao Boulevard """"""""M"""""""" Part Park""""""",M149,South zone,,,M-516,12.921544,77.580676,,,,,,,,
Mphasis,"""""""Laxman Rao Boulevard """"""""M"""""""" Part Park""""""",M149,South zone,,,M-518,12.920408,77.580697,,,,,,,,
Mphasis,Nandanavana Park,M101,South zone,,,M-56,12.9178,77.60094,,,,,,,,
Mphasis,Nandanavana Park,M101,South zone,,,M-59,12.914581,77.604283,,,,,,,,
Mphasis,Nandanavana Park,M101,South zone,,,M-58,12.914834,77.603973,,,,,,,,
Mphasis,Nandanavana Park,M101,South zone,,,M-61,12.91471,77.603725,,,,,,,,
Mphasis,Nandhini booth park,M108,BTM layout,,,M-66,12.91035,77.612264,,,,,,,,
Mphasis,Nandhini booth park,M108,BTM layout,,,M-63,12.910385,77.612473,,,,,,,,
Mphasis,Nandhini booth park,M108,BTM layout,,,M-68,12.910275,77.612085,,,,,,,,
Mphasis,Mico Layout Park 2 ( M S Collage),M104,South zone,,,M-74,12.908102,77.611775,,,,,,,,
Mphasis,Mico Layout Park 2 ( M S Collage),M104,South zone,,,M-73,12.908068,77.611772,,,,,,,,
ExxonMobil,Munneshwara Park,EX101,JP Nagar,,,R-50,12.909078,77.59484,,,,,,,,
ExxonMobil,Munneshwara park,EX101,JP nagar,,,R-51,12.909069,77.59458,,,,,,,,
ExxonMobil,Munneshwara park,EX101,JP Nagar,,,R-53,12.909046,77.594492,,,,,,,,
Mphasis,Dollars colony park,M113,Bommanahalli zone,,,M-110,12.902728,77.59646,,,,,,,,
Mphasis,Kiru Vruksha vana,M115,South zone,,,M-95,12.905267,77.593786,,,,,,,,
Mphasis,Dhanvantari park,M151,Bommanahalli zone,,,R-07,12.908838,77.588287,,,,,,,,
Mphasis,Dhanvantari park,M151,Bommanahalli zone,,,M-511,12.909766,77.588489,,,,,,,,
