SL No,Donor Name,Location Name,Latitude ,Longitude,Google location,No of Percolation well Constructed,Year of Completion,Zone,Ward Number,Location by Parks/Campuses
106,Mphasis,Nandanavana Park,12.91485513,77.60443324,https://maps.app.goo.gl/vpmpBbqhK5VgUPYx8,8,Mar-24,South zone,,BBMP Park
107,Mphasis,Veera Yodhara Vana Park,12.93114275,77.62679359,https://maps.app.goo.gl/CAnBk6fKzTwKKzNE7,39,Mar-24,South zone,,BBMP Park
108,Mphasis,Koramangala Post Office Ground,12.92771786,77.62768574,https://maps.app.goo.gl/UqKJ7MiGU7exFJUx9,7,Mar-24,South zone,,BBMP Park
109,Mphasis,Mico Layout Park 2 ( M S Collage),12.90809123,77.6120111,https://maps.app.goo.gl/nzDxHJUrR6LdMoPL9,8,Mar-24,South zone,,BBMP Park
110,Mphasis,Mico Layout Park (N S Palya Park ),12.91143318,77.60487158,https://maps.app.goo.gl/RmnUJqpqQRK2o9NM8,9,Mar-24,South zone,,BBMP Park
111,Mphasis,CAR South Adugodi ( DCP Farmhouse),12.93836438,77.61073067,https://maps.app.goo.gl/nR4AwUmrymNbcn1V9,20,Mar-24,South zone,,Police Campus
112,Mphasis,"CAR South Quaters,Road side etc",12.93837615,77.61054177,https://maps.app.goo.gl/nR4AwUmrymNbcn1V9,106,Mar-24,South zone,,Police Campus
113,Mphasis,Nandini Booth Park,12.91052542,77.61034249,https://maps.app.goo.gl/i7kXNiSVoG6uhpd47,8,Mar-24,South zone,,BBMP Park
114,Mphasis,Vinayaka Temple Park 1,12.9117442,77.61383365,https://maps.app.goo.gl/WJgtVmRGFjJNLZ8c8,5,Mar-24,South zone,,BBMP Park
115,Mphasis,Vinayaka Temple Park 2,12.91315951,77.61385468,https://maps.app.goo.gl/fit13K8hdmhq9HGC8,2,Mar-24,South zone,,BBMP Park
116,Mphasis,Mini Forest Park,12.90897462,77.59910552,https://maps.app.goo.gl/ijPdP1snsznJ7e1V7,4,Mar-24,South zone,,BBMP Park
117,Mphasis,Bhagath Singh Park,12.91177625,77.59887306,https://maps.app.goo.gl/DYQMAHjx8xrRnfkf7,4,Mar-24,South zone,,BBMP Park
118,Mphasis,16th Main Park J.P Nagar,12.90615007,77.60066192,https://maps.app.goo.gl/RhzgzrgjAXTYHyXv5,3,Mar-24,South zone,,BBMP Park
119,Mphasis,Hopcoms Park J.P Nagar,12.90514941,77.59681441,https://maps.app.goo.gl/tXJStdM5yAHnZQHs7,4,Mar-24,South zone,,BBMP Park
120,Mphasis,Kiru Vruksha vana,12.90550524,77.59376264,https://maps.app.goo.gl/13LN61Zw6MVcAxwD6,3,Mar-24,South zone,,BBMP Park
121,Mphasis,Dollars Colony Park,12.90317751,77.59654828,https://maps.app.goo.gl/D9opXosKJyrzcYf78,5,Mar-24,South zone,,BBMP Park
122,Mphasis,Kadamba Park,12.93834739,77.61068929,https://maps.app.goo.gl/nR4AwUmrymNbcn1V9,27,Mar-24,South zone,,BBMP Park
123,Mphasis,Police Parade Ground Backside Area,12.93834739,77.61068929,https://maps.app.goo.gl/nR4AwUmrymNbcn1V9,25,Mar-24,South zone,,Police Campus
124,Mphasis,Children's Playground Surrounding,12.93834739,77.61068929,https://maps.app.goo.gl/nR4AwUmrymNbcn1V9,20,Mar-24,South zone,,Police Campus
125,Mphasis,Teakwood Area Surronding,12.93834739,77.61068929,https://maps.app.goo.gl/nR4AwUmrymNbcn1V9,26,Mar-24,South zone,,Police Campus
126,Mphasis,Generator Area Surrounding,12.93834739,77.61068929,https://maps.app.goo.gl/nR4AwUmrymNbcn1V9,15,Mar-24,South zone,,Police Campus
